starting_time,ending_time,starting_point,ending_point
2017-01-01 18:32:47,2017-01-01 18:46:05,48,231
2015-01-01 18:18:04,2015-01-01 18:27:17,186,142
2015-01-01 18:44:38,2015-01-01 18:55:54,48,186
2017-01-01 18:06:39,2017-01-01 18:10:02,68,234
2015-01-01 18:08:41,2015-01-01 18:15:03,74,140
2015-01-01 18:42:51,2015-01-01 18:53:17,79,68
2015-01-01 18:02:13,2015-01-01 18:14:45,239,48
2017-01-01 18:05:21,2017-01-01 18:18:51,79,231
2019-01-01 18:25:24,2019-01-01 18:40:40,239,170
2019-01-01 18:08:12,2019-01-01 18:11:52,234,170
2017-01-01 18:05:18,2017-01-01 18:17:30,186,163
2018-01-01 18:07:17,2018-01-01 18:11:05,68,50
2019-01-01 18:44:54,2019-01-01 18:53:37,48,239
2017-01-01 18:29:26,2017-01-01 18:32:29,239,142
2015-01-01 18:06:14,2015-01-01 18:13:55,170,237
2017-01-01 18:07:59,2017-01-01 18:13:24,161,236
2019-01-01 18:20:17,2019-01-01 18:24:15,113,79
2018-01-01 18:57:59,2018-01-01 19:03:14,50,48
2017-01-01 18:43:48,2017-01-01 18:47:42,50,239
2017-01-01 18:40:55,2017-01-01 18:51:31,68,170
2015-01-01 18:44:52,2015-01-01 18:50:30,68,142
2019-01-01 18:05:43,2019-01-01 18:25:19,142,243
2017-01-01 18:09:11,2017-01-01 18:36:56,161,170
2019-01-01 18:10:59,2019-01-01 18:21:05,142,236
2016-01-01 18:06:17,2016-01-01 18:12:13,113,79
2019-01-01 18:36:36,2019-01-01 18:42:45,142,161
2015-01-01 18:27:30,2015-01-01 18:40:17,170,50
2018-01-01 18:50:30,2018-01-01 19:04:06,50,243
2015-01-01 18:16:30,2015-01-01 18:24:16,68,79
2017-01-01 18:36:44,2017-01-01 18:54:44,48,243
2017-01-01 18:31:41,2017-01-01 18:41:47,48,186
2019-01-01 18:40:21,2019-01-01 19:08:41,140,244
2017-01-01 18:06:45,2017-01-01 18:16:54,48,163
2015-01-01 18:45:54,2015-01-01 18:55:42,142,140
2017-01-01 18:03:27,2017-01-01 18:08:15,186,113
2018-01-01 18:11:09,2018-01-01 18:18:40,163,140
2019-01-01 18:05:48,2019-01-01 18:13:37,161,186
2018-01-01 18:46:54,2018-01-01 18:53:27,113,231
2019-01-01 18:54:00,2019-01-01 19:01:51,68,170
2017-01-01 18:07:18,2017-01-01 18:20:23,170,237
2018-01-01 18:19:40,2018-01-01 18:28:05,48,234
2018-01-01 18:29:35,2018-01-01 18:37:04,170,186
2016-01-01 18:28:44,2016-01-01 18:37:54,113,231
2016-01-01 18:47:49,2016-01-01 18:52:58,113,234
2016-01-01 18:04:40,2016-01-01 18:17:51,161,234
2015-01-01 18:19:46,2015-01-01 18:27:58,163,161
2018-01-01 18:06:03,2018-01-01 18:12:52,239,236
2015-01-01 18:22:43,2015-01-01 18:32:33,237,239
2019-01-01 18:49:51,2019-01-01 18:53:23,74,41
2016-01-01 18:30:44,2016-01-01 18:40:33,170,186
2015-01-01 18:16:53,2015-01-01 18:36:43,41,48
2018-01-01 18:57:39,2018-01-01 19:00:39,48,163
2015-01-01 18:10:05,2015-01-01 18:16:24,236,142
2016-01-01 18:34:58,2016-01-01 18:40:22,161,170
2017-01-01 18:55:53,2017-01-01 18:58:35,142,163
2017-01-01 18:45:17,2017-01-01 18:55:12,41,243
2019-01-01 18:24:38,2019-01-01 18:35:28,142,236
2019-01-01 18:39:32,2019-01-01 18:56:44,186,236
2016-01-01 18:51:33,2016-01-01 19:05:59,113,186
2019-01-01 18:41:17,2019-01-01 18:48:34,186,79
2017-01-01 18:49:28,2017-01-01 18:53:45,237,236
2016-01-01 18:55:32,2016-01-01 19:05:03,186,48
2016-01-01 18:04:51,2016-01-01 18:09:29,142,237
2018-01-01 18:09:30,2018-01-01 18:18:11,79,170
2016-01-01 18:03:11,2016-01-01 18:09:27,161,142
2015-01-01 18:26:25,2015-01-01 18:34:26,161,43
2019-01-01 18:38:46,2019-01-01 18:47:59,170,140
2017-01-01 18:20:06,2017-01-01 18:23:20,142,48
2018-01-01 18:44:58,2018-01-01 19:01:17,234,161
2018-01-01 18:16:08,2018-01-01 18:19:23,41,74
2016-01-01 18:12:55,2016-01-01 18:26:55,88,140
2016-01-01 18:04:53,2016-01-01 18:09:01,237,236
2016-01-01 18:09:57,2016-01-01 18:17:33,161,140
2018-01-01 18:11:07,2018-01-01 18:14:01,234,79
2017-01-01 18:12:13,2017-01-01 18:22:44,163,236
2018-01-01 18:36:03,2018-01-01 18:40:21,234,68
2015-01-01 18:18:13,2015-01-01 18:27:09,48,163
2015-01-01 18:46:29,2015-01-01 18:49:09,237,43
2019-01-01 18:15:12,2019-01-01 18:27:32,234,163
2016-01-01 18:12:05,2016-01-01 18:15:55,79,113
2015-01-01 18:22:50,2015-01-01 18:42:25,186,236
2019-01-01 18:15:48,2019-01-01 18:17:44,142,163
2019-01-01 18:59:09,2019-01-01 19:03:28,163,140
2015-01-01 18:34:40,2015-01-01 18:47:03,43,48
2015-01-01 18:53:45,2015-01-01 19:14:59,163,234
2019-01-01 18:18:48,2019-01-01 18:26:25,161,142
2015-01-01 18:06:39,2015-01-01 18:24:59,163,161
2015-01-01 18:21:51,2015-01-01 18:26:10,237,142
2018-01-01 18:26:31,2018-01-01 18:36:24,113,232
2016-01-01 18:59:13,2016-01-01 19:06:26,50,186
2017-01-01 18:28:01,2017-01-01 18:39:43,79,186
2017-01-01 18:20:01,2017-01-01 18:26:22,237,43
2015-01-01 18:40:25,2015-01-01 18:46:18,163,239
2019-01-01 18:16:19,2019-01-01 18:35:50,142,79
2017-01-01 18:14:34,2017-01-01 18:32:04,48,236
2015-01-01 18:32:46,2015-01-01 18:50:57,163,234
2015-01-01 18:39:37,2015-01-01 18:45:57,186,161
2017-01-01 18:04:30,2017-01-01 18:15:44,43,140
2017-01-01 18:20:29,2017-01-01 18:33:18,68,79
2016-01-01 18:29:52,2016-01-01 18:37:49,113,231
2016-01-01 18:36:53,2016-01-01 18:43:27,236,41
2015-01-01 18:42:59,2015-01-01 18:53:00,161,170
2017-01-01 18:39:40,2017-01-01 18:46:53,142,237
2018-01-01 18:50:28,2018-01-01 18:57:21,142,237
2016-01-01 18:36:23,2016-01-01 18:43:30,161,234
2015-01-01 18:19:17,2015-01-01 18:27:28,48,186
2016-01-01 18:46:12,2016-01-01 18:55:48,236,170
2018-01-01 18:37:25,2018-01-01 18:41:53,236,237
2016-01-01 18:17:54,2016-01-01 18:33:32,237,161
2018-01-01 18:26:13,2018-01-01 18:32:55,234,186
2018-01-01 18:38:52,2018-01-01 18:41:56,142,48
2015-01-01 18:03:41,2015-01-01 18:10:00,50,68
