date,temperature_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,holiday
2015/1/5 21:00,0.033500016,0,0,0,0,21.862406,0
2015/1/5 22:00,-0.8165,0,0,0,0,17.992796,0
2015/1/5 23:00,-1.6165,0,0,0,0,17.906157,0
2015/1/6 0:00,-2.2665,0,0,0,0,19.272614,0
2015/1/6 1:00,-2.9165,0,0,0,0,18.844202,0
2015/1/6 2:00,-3.6165,0,0,0,0,17.81909,0
2015/1/6 3:00,-4.1165,0,0,0,0,17.208603,0
2015/1/6 4:00,-4.5165,0,0,0,0,16.375053,0
2015/1/6 5:00,-4.8665,0,0,0,0,17.10284,0
2015/1/6 6:00,-5.1665,0,0,0,0,16.704155,0
2015/1/6 7:00,-6.6165,0,0,0,0,15.30741,0
2015/1/6 8:00,-6.8665,0,0,0,0,12.387348,0
2015/1/6 9:00,-6.8665,0,0,0,0,10.009036,0
2015/1/6 10:00,-6.8165,0,0,0,0,8.209263,0
2015/1/6 11:00,-6.7665,0,0,0,0,8.311245,0
2015/1/6 12:00,-6.7165,0,0,0.07,0,7.928178,0
2015/1/6 13:00,-6.8165,0.2,0,0.14,0,3.6179552,0
2015/1/6 14:00,-6.6665,0.2,0,0.14,0,3.8773184,0
2015/1/6 15:00,-6.2665,0.3,0,0.21000001,0.01,6.297428,0
2015/1/6 16:00,-5.6665,0.2,0,0.14,0.01,8.534353,0
2015/1/6 17:00,-5.1665,0.2,0,0.14,0.01,8.707237,0
2015/1/6 18:00,-4.7665,0.1,0,0.07,0.01,7.9932966,0
2015/1/6 19:00,-5.1165,0,0,0.07,0.01,8.404285,0
2015/1/6 20:00,-4.9165,0,0,0.07,0.01,9.085988,0
2015/1/6 21:00,-4.9165,0,0,0,0.01,9.83268,0
2015/1/6 22:00,-5.1165,0,0,0,0.01,6.12,0
2015/1/6 23:00,-5.3665,0,0,0,0.01,8.825508,0
2015/1/7 0:00,-5.5165,0,0,0,0.01,9.793058,0
2015/1/7 1:00,-5.7665,0,0,0,0.01,10.739833,0
2015/1/7 2:00,-6.0165,0,0,0,0.01,11.874544,0
2015/1/7 3:00,-6.2165,0,0,0,0.01,10.538843,0
2015/1/7 4:00,-6.3665,0,0,0,0.01,9.726665,0
2015/1/7 5:00,-6.4165,0,0,0,0.01,9.746631,0
2015/1/7 6:00,-6.4665,0,0,0,0.01,11.298495,0
2015/1/7 7:00,-7.5665,0,0,0,0.01,12.594856,0
2015/1/7 8:00,-7.5165,0,0,0,0.01,13.281023,0
2015/1/7 9:00,-7.4665,0,0,0,0.01,12.72283,0
2015/1/7 10:00,-7.4665,0,0,0,0.01,9.6932955,0
2015/1/7 11:00,-7.4165,0,0,0,0.01,12.015589,0
2015/1/7 12:00,-7.3165,0,0,0,0.01,15.484185,0
2015/1/7 13:00,-7.3165,0,0,0,0.01,17.935081,0
2015/1/7 14:00,-6.6165,0,0,0,0.01,23.157824,0
2015/1/7 15:00,-5.6165,0,0,0,0.01,28.58545,0
2015/1/7 16:00,-4.9165,0,0,0,0.01,29.379177,0
2015/1/7 17:00,-4.4165,0,0,0,0.01,28.348713,0
2015/1/7 18:00,-4.3665,0,0,0,0.01,28.357857,0
2015/1/7 19:00,-4.8165,0,0,0,0.01,29.317352,0
2015/1/7 20:00,-5.2665,0,0,0,0.01,29.379175,0
2015/1/7 21:00,-6.0165,0,0,0,0.01,27.438046,0
2015/1/7 22:00,-7.2165,0,0,0,0.01,24.567198,0
2015/1/7 23:00,-8.616501,0,0,0,0.01,27.438046,0
2015/1/8 0:00,-10.0665,0,0,0,0.01,26.089443,0
2015/1/8 1:00,-11.216499,0,0,0,0.01,25.812277,0
2015/1/8 2:00,-12.0665,0,0,0,0.01,25.133053,0
2015/1/8 3:00,-12.616501,0,0,0,0.01,24.912935,0
2015/1/8 4:00,-12.9165,0,0,0,0.01,25.922499,0
2015/1/8 5:00,-13.116501,0,0,0,0.01,25.7041,0
2015/1/8 6:00,-13.2665,0,0,0,0.01,25.41763,0
2015/1/8 7:00,-13.3165,0,0,0,0.01,22.26768,0
2015/1/8 8:00,-13.4165,0,0,0,0.01,21.370783,0
2015/1/8 9:00,-13.5165,0,0,0,0.01,18.03237,0
2015/1/8 10:00,-13.466499,0,0,0,0.01,14.471821,0
2015/1/8 11:00,-13.3165,0,0,0,0.01,14.764389,0
2015/1/8 12:00,-13.0665,0,0,0,0.01,13.722565,0
2015/1/8 13:00,-12.616501,0,0,0,0.01,13.627795,0
2015/1/8 14:00,-11.3165,0,0,0,0.01,16.167967,0
2015/1/8 15:00,-9.7665,0,0,0,0.01,17.414476,0
2015/1/8 16:00,-8.1665,0,0,0,0.01,18.014393,0
2015/1/8 17:00,-7.2665,0,0,0,0.01,16.595179,0
2015/1/8 18:00,-6.4665,0,0,0,0.01,15.905319,0
2015/1/8 19:00,-6.4165,0,0,0,0.01,16.520823,0
2015/1/8 20:00,-6.2165,0,0,0,0.01,15.937878,0
2015/1/8 21:00,-6.5165,0,0,0,0.01,14.48972,0
2015/1/8 22:00,-7.3165,0,0,0,0.01,9.422101,0
2015/1/8 23:00,-7.9165,0,0,0,0.01,11.246759,0
2015/1/9 0:00,-8.4165,0,0,0,0.01,13.755579,0
2015/1/9 1:00,-8.7665,0,0,0,0.01,13.493999,0
2015/1/9 2:00,-9.0165,0,0,0,0.01,12.768586,0
2015/1/9 3:00,-8.8165,0,0,0,0.01,12.594856,0
2015/1/9 4:00,-8.716499,0,0,0,0.01,13.854155,0
2015/1/9 5:00,-8.5165,0,0,0,0.01,14.241629,0
2015/1/9 6:00,-7.6165,0,0,0,0.01,15.893093,0
2015/1/9 7:00,-7.0665,0,0,0,0.01,19.011953,0
2015/1/9 8:00,-6.1165,0,0,0,0.01,20.393293,0
2015/1/9 9:00,-5.3665,0,0,0,0.01,21.734581,0
2015/1/9 10:00,-4.7165,0,0,0,0.01,17.429354,0
2015/1/9 11:00,-4.3165,0,0,0,0.01,18.391737,0
2015/1/9 12:00,-4.1665,0.2,0,0.14,0.01,19.376562,0
2015/1/9 13:00,-4.1665,0.3,0,0.21000001,0.01,18.847641,0
2015/1/9 14:00,-3.9665,0.3,0,0.21000001,0.01,15.986593,0
2015/1/9 15:00,-3.5665,0.1,0,0.07,0.01,17.373497,0
2015/1/9 16:00,-2.6165,0,0,0,0.02,17.57744,0
2015/1/9 17:00,-0.6665,0,0,0,0.02,18.775303,0
2015/1/9 18:00,0.38349998,0,0,0,0.02,24.717085,0
2015/1/9 19:00,-0.016499996,0,0,0,0.02,24.648829,0
2015/1/9 20:00,-0.11649999,0,0,0,0.01,20.991426,0
2015/1/9 21:00,-0.8165,0,0,0,0.01,16.167967,0
2015/1/9 22:00,-2.3665,0,0,0,0.01,8.557102,0
2015/1/9 23:00,-3.4165,0,0,0,0.01,9.449572,0
2015/1/10 0:00,-3.9665,0,0,0,0.01,12.849528,0
2015/1/10 1:00,-4.5665,0,0,0,0.01,12.7279215,0
2015/1/10 2:00,-5.1665,0,0,0,0.01,12.496719,0
2015/1/10 3:00,-5.7165,0,0,0,0.01,12.371645,0
2015/1/10 4:00,-6.1665,0,0,0,0.01,12.620554,0
2015/1/10 5:00,-6.6665,0,0,0,0.01,12.959999,0
2015/1/10 6:00,-7.2165,0,0,0,0.01,12.605142,0
2015/1/10 7:00,-7.5165,0,0,0,0.01,12.24,0
2015/1/10 8:00,-7.9665,0,0,0,0.01,11.879999,0
2015/1/10 9:00,-8.366501,0,0,0,0.01,12.245294,0
2015/1/10 10:00,-8.8165,0,0,0,0.01,12.849528,0
2015/1/10 11:00,-9.2665,0,0,0,0.01,13.138765,0
