date,hour,count
2019/1/25,21,12189
2019/1/25,22,12848
2019/1/25,23,11952
2019/1/26,0,9611
2019/1/26,1,7464
2019/1/26,2,5928
2019/1/26,3,4087
2019/1/26,4,2222
2019/1/26,5,1101
2019/1/26,6,1912
2019/1/26,7,3260
2019/1/26,8,5525
2019/1/26,9,8516
2019/1/26,10,10446
2019/1/26,11,11440
2019/1/26,12,12123
2019/1/26,13,12684
2019/1/26,14,11818
2019/1/26,15,12452
2019/1/26,16,12050
2019/1/26,17,12984
2019/1/26,18,14262
2019/1/26,19,14368
2019/1/26,20,10737
2019/1/26,21,10967
2019/1/26,22,12071
2019/1/26,23,11787
2019/1/27,0,10533
2019/1/27,1,9110
2019/1/27,2,7256
2019/1/27,3,5170
2019/1/27,4,2600
2019/1/27,5,985
2019/1/27,6,1390
2019/1/27,7,2280
2019/1/27,8,3773
2019/1/27,9,5919
2019/1/27,10,8787
2019/1/27,11,9907
2019/1/27,12,10858
2019/1/27,13,10636
2019/1/27,14,11030
2019/1/27,15,10634
2019/1/27,16,10111
2019/1/27,17,10242
2019/1/27,18,9810
2019/1/27,19,8129
2019/1/27,20,6798
2019/1/27,21,6133
2019/1/27,22,5094
2019/1/27,23,3272
2019/1/28,0,1841
2019/1/28,1,1059
2019/1/28,2,722
2019/1/28,3,552
2019/1/28,4,687
2019/1/28,5,1883
2019/1/28,6,5627
2019/1/28,7,10046
2019/1/28,8,12013
2019/1/28,9,10768
2019/1/28,10,9314
2019/1/28,11,9345
2019/1/28,12,9787
2019/1/28,13,9661
2019/1/28,14,10655
2019/1/28,15,11478
2019/1/28,16,10318
2019/1/28,17,12367
2019/1/28,18,14137
2019/1/28,19,12633
2019/1/28,20,11395
2019/1/28,21,10279
2019/1/28,22,7881
2019/1/28,23,4376
2019/1/29,0,2348
2019/1/29,1,1365
2019/1/29,2,783
2019/1/29,3,570
2019/1/29,4,651
2019/1/29,5,1845
2019/1/29,6,5781
2019/1/29,7,10940
2019/1/29,8,12715
2019/1/29,9,11334
2019/1/29,10,10037
2019/1/29,11,9950
2019/1/29,12,10418
2019/1/29,13,10171
2019/1/29,14,11233
2019/1/29,15,11855
2019/1/29,16,10589
2019/1/29,17,13190
2019/1/29,18,15962
2019/1/29,19,14329
2019/1/29,20,12580
2019/1/29,21,12633
2019/1/29,22,10181
2019/1/29,23,5818
2019/1/30,0,3161
2019/1/30,1,1640
2019/1/30,2,1048
2019/1/30,3,695
2019/1/30,4,662
2019/1/30,5,1868
2019/1/30,6,6081
2019/1/30,7,11384
2019/1/30,8,13424
2019/1/30,9,11920
2019/1/30,10,10269
2019/1/30,11,10617
2019/1/30,12,10669
2019/1/30,13,10528
2019/1/30,14,11732
2019/1/30,15,13023
2019/1/30,16,10742
2019/1/30,17,13270
2019/1/30,18,16294
2019/1/30,19,15628
2019/1/30,20,14448
2019/1/30,21,13970
2019/1/30,22,11384
2019/1/30,23,6594
2019/1/31,0,3335
2019/1/31,1,1780
2019/1/31,2,1058
2019/1/31,3,688
2019/1/31,4,774
2019/1/31,5,2004
2019/1/31,6,6554
2019/1/31,7,12189
2019/1/31,8,13733
2019/1/31,9,12156
2019/1/31,10,10322
2019/1/31,11,10266
2019/1/31,12,10245
2019/1/31,13,10358
2019/1/31,14,11439
2019/1/31,15,12526
2019/1/31,16,11642
2019/1/31,17,14512
2019/1/31,18,16253
2019/1/31,19,14738
2019/1/31,20,13598
2019/1/31,21,13564
2019/1/31,22,11538
2019/1/31,23,8449
2019/2/1,0,4904
2019/2/1,1,2782
2019/2/1,2,1702
2019/2/1,3,1131
2019/2/1,4,976
2019/2/1,5,1940
2019/2/1,6,5732
2019/2/1,7,11261
2019/2/1,8,13959
2019/2/1,9,12762
2019/2/1,10,11096
2019/2/1,11,11253
2019/2/1,12,11587
2019/2/1,13,11492
2019/2/1,14,13276
2019/2/1,15,13683
2019/2/1,16,12043
2019/2/1,17,14149
2019/2/1,18,16309
2019/2/1,19,15783
2019/2/1,20,12758
2019/2/1,21,12015
2019/2/1,22,12470
2019/2/1,23,10505
2019/2/2,0,8573
2019/2/2,1,6965
2019/2/2,2,5414
2019/2/2,3,3715
2019/2/2,4,2019
2019/2/2,5,1024
2019/2/2,6,1897
2019/2/2,7,3157
2019/2/2,8,5593
2019/2/2,9,8273
2019/2/2,10,10235
2019/2/2,11,11451
2019/2/2,12,12203
2019/2/2,13,12704
2019/2/2,14,11896
2019/2/2,15,12447
2019/2/2,16,12511
2019/2/2,17,12946
2019/2/2,18,13972
2019/2/2,19,13863
2019/2/2,20,10562
2019/2/2,21,10142
2019/2/2,22,11795
2019/2/2,23,11121
2019/2/3,0,9759
2019/2/3,1,8257
2019/2/3,2,6611
2019/2/3,3,4480
2019/2/3,4,2354
2019/2/3,5,880
2019/2/3,6,1274
2019/2/3,7,2316
2019/2/3,8,4529
2019/2/3,9,6314
2019/2/3,10,8304
2019/2/3,11,9368
2019/2/3,12,10040
2019/2/3,13,9955
2019/2/3,14,9788
2019/2/3,15,9863
2019/2/3,16,10171
2019/2/3,17,12230
2019/2/3,18,11386
2019/2/3,19,6319
2019/2/3,20,6373
2019/2/3,21,5665
2019/2/3,22,10584
2019/2/3,23,4629
2019/2/4,0,2458
2019/2/4,1,1317
2019/2/4,2,838
2019/2/4,3,617
2019/2/4,4,654
2019/2/4,5,1658
2019/2/4,6,5481
2019/2/4,7,9432
2019/2/4,8,11300
2019/2/4,9,10379
2019/2/4,10,9230
2019/2/4,11,8598
2019/2/4,12,9283
2019/2/4,13,9202
2019/2/4,14,10132
2019/2/4,15,10773
2019/2/4,16,10201
2019/2/4,17,11966
2019/2/4,18,14845
2019/2/4,19,12370
2019/2/4,20,10754
2019/2/4,21,10093
2019/2/4,22,7421
2019/2/4,23,4440
2019/2/5,0,2514
2019/2/5,1,1416
2019/2/5,2,786
2019/2/5,3,545
2019/2/5,4,573
2019/2/5,5,1772
2019/2/5,6,5486
2019/2/5,7,9777
2019/2/5,8,11956
2019/2/5,9,11288
2019/2/5,10,10296
2019/2/5,11,10259
2019/2/5,12,10583
2019/2/5,13,10361
2019/2/5,14,10944
2019/2/5,15,11579
2019/2/5,16,10278
2019/2/5,17,12235
2019/2/5,18,14407
2019/2/5,19,13362
2019/2/5,20,12746
2019/2/5,21,12600
2019/2/5,22,10784
2019/2/5,23,6579
2019/2/6,0,3639
2019/2/6,1,2000
2019/2/6,2,1125
2019/2/6,3,699
2019/2/6,4,729
2019/2/6,5,1630
2019/2/6,6,5618
2019/2/6,7,10634
2019/2/6,8,12671
2019/2/6,9,11820
2019/2/6,10,10621
2019/2/6,11,10688
2019/2/6,12,10897
2019/2/6,13,11043
2019/2/6,14,11854
2019/2/6,15,11963
2019/2/6,16,11246
